,scenario_id,var_vector,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
39,H_087,Consequentialist,unweighted,-4.0,0.65,0.48333333333333334,-0.16666666666666669
40,G_114,Consequentialist,unweighted,-4.0,0.4833333333333334,0.15,-0.33333333333333337
41,G_240,Consequentialist,unweighted,-4.0,0.5254385964912281,0.26666666666666666,-0.2587719298245615
42,G_275,Consequentialist,unweighted,-4.0,0.15000000000000002,0.21666666666666667,0.06666666666666665
43,H_093,Consequentialist,unweighted,-4.0,0.36666666666666664,0.3166666666666667,-0.04999999999999993
44,H_023,Consequentialist,unweighted,-4.0,0.03333333333333333,0.08333333333333333,0.049999999999999996
45,G_227,Consequentialist,unweighted,-4.0,0.8166666666666668,0.8333333333333334,0.016666666666666607
46,H_084,Consequentialist,unweighted,-4.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
47,G_109,Consequentialist,unweighted,-4.0,0.3,0.21666666666666667,-0.08333333333333331
48,G_438,Consequentialist,unweighted,-4.0,0.0,0.016666666666666666,0.016666666666666666
49,G_401,Consequentialist,unweighted,-4.0,0.75,0.65,-0.09999999999999998
50,G_482,Consequentialist,unweighted,-4.0,0.2333333333333333,0.21666666666666667,-0.016666666666666635
51,G_163,Consequentialist,unweighted,-4.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
52,G_009,Consequentialist,unweighted,-4.0,0.85,0.7833333333333333,-0.06666666666666665
53,G_312,Consequentialist,unweighted,-4.0,0.9500000000000001,0.9500000000000001,0.0
54,G_044,Consequentialist,unweighted,-4.0,0.4000000000000001,0.2833333333333334,-0.1166666666666667
55,H_027,Consequentialist,unweighted,-4.0,0.65,0.5,-0.15000000000000002
56,G_195,Consequentialist,unweighted,-4.0,0.21666666666666665,0.08333333333333333,-0.1333333333333333
57,G_347,Consequentialist,unweighted,-4.0,0.6666666666666666,0.6833333333333332,0.016666666666666607
58,G_149,Consequentialist,unweighted,-4.0,0.7333333333333334,0.55,-0.18333333333333335
59,G_179,Consequentialist,unweighted,-4.0,0.11666666666666665,0.15,0.03333333333333334
60,G_255,Consequentialist,unweighted,-4.0,0.5499999999999999,0.5,-0.04999999999999993
61,G_113,Consequentialist,unweighted,-4.0,0.75,0.6333333333333334,-0.11666666666666659
62,G_458,Consequentialist,unweighted,-4.0,0.0,0.0,0.0
63,H_002,Consequentialist,unweighted,-4.0,0.016666666666666666,0.06666666666666667,0.05
64,G_199,Consequentialist,unweighted,-3.0,0.9333333333333332,0.9166666666666666,-0.016666666666666607
65,G_269,Consequentialist,unweighted,-3.0,0.20000000000000004,0.2333333333333333,0.03333333333333327
66,G_523,Consequentialist,unweighted,-3.0,0.9,0.9333333333333332,0.033333333333333215
67,G_123,Consequentialist,unweighted,-3.0,0.30000000000000004,0.05000000000000001,-0.25000000000000006
68,G_104,Consequentialist,unweighted,-3.0,0.049999999999999996,0.09999999999999999,0.049999999999999996
69,H_088,Consequentialist,unweighted,-3.0,0.2333333333333333,0.15,-0.08333333333333331
70,G_592,Consequentialist,unweighted,-3.0,0.8166666666666668,0.6166666666666667,-0.20000000000000007
71,H_087,Consequentialist,unweighted,-3.0,0.65,0.5,-0.15000000000000002
72,G_114,Consequentialist,unweighted,-3.0,0.4833333333333334,0.2333333333333333,-0.2500000000000001
73,G_240,Consequentialist,unweighted,-3.0,0.5254385964912281,0.3,-0.22543859649122816
74,G_275,Consequentialist,unweighted,-3.0,0.15000000000000002,0.2333333333333333,0.08333333333333329
75,H_093,Consequentialist,unweighted,-3.0,0.36666666666666664,0.25,-0.11666666666666664
76,H_023,Consequentialist,unweighted,-3.0,0.03333333333333333,0.08333333333333333,0.049999999999999996
77,G_227,Consequentialist,unweighted,-3.0,0.8166666666666668,0.8833333333333333,0.06666666666666654
78,H_084,Consequentialist,unweighted,-3.0,0.9500000000000001,0.9500000000000001,0.0
79,G_109,Consequentialist,unweighted,-3.0,0.3,0.26666666666666666,-0.033333333333333326
80,G_438,Consequentialist,unweighted,-3.0,0.0,0.0,0.0
81,G_401,Consequentialist,unweighted,-3.0,0.75,0.6166666666666667,-0.1333333333333333
82,G_482,Consequentialist,unweighted,-3.0,0.2333333333333333,0.21666666666666667,-0.016666666666666635
83,G_163,Consequentialist,unweighted,-3.0,0.9500000000000001,0.9500000000000001,0.0
84,G_009,Consequentialist,unweighted,-3.0,0.85,0.7999999999999999,-0.050000000000000044
85,G_312,Consequentialist,unweighted,-3.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
86,G_044,Consequentialist,unweighted,-3.0,0.4000000000000001,0.25,-0.15000000000000008
87,H_027,Consequentialist,unweighted,-3.0,0.65,0.6666666666666666,0.016666666666666607
88,G_195,Consequentialist,unweighted,-3.0,0.21666666666666665,0.11666666666666665,-0.09999999999999999
89,G_347,Consequentialist,unweighted,-3.0,0.6666666666666666,0.6403508771929824,-0.02631578947368418
90,G_149,Consequentialist,unweighted,-3.0,0.7333333333333334,0.5666666666666667,-0.16666666666666674
91,G_179,Consequentialist,unweighted,-3.0,0.11666666666666665,0.13333333333333333,0.016666666666666677
92,G_255,Consequentialist,unweighted,-3.0,0.5499999999999999,0.6333333333333334,0.08333333333333348
93,G_113,Consequentialist,unweighted,-3.0,0.75,0.7000000000000001,-0.04999999999999993
94,G_458,Consequentialist,unweighted,-3.0,0.0,0.0,0.0
95,H_002,Consequentialist,unweighted,-3.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
