,scenario_id,variation,vector_type,alpha,proportion_action2_base,proportion_action2_var,CPS
76,H_087,Consequentialist,weighted,-3.0,0.65,0.8166666666666668,0.16666666666666674
77,G_255,Consequentialist,weighted,-3.0,0.5499999999999999,0.5833333333333334,0.03333333333333344
78,G_523,Consequentialist,weighted,-3.0,0.9,0.9,0.0
79,G_149,Consequentialist,weighted,-3.0,0.7333333333333334,0.5499999999999999,-0.18333333333333346
80,G_312,Consequentialist,weighted,-3.0,0.9500000000000001,1.0,0.04999999999999993
81,G_195,Consequentialist,weighted,-3.0,0.21666666666666665,0.08333333333333333,-0.1333333333333333
82,G_347,Consequentialist,weighted,-3.0,0.6666666666666666,0.8666666666666667,0.20000000000000007
83,H_023,Consequentialist,weighted,-3.0,0.03333333333333333,0.09999999999999999,0.06666666666666665
84,G_163,Consequentialist,weighted,-3.0,0.9500000000000001,0.9166666666666666,-0.03333333333333344
85,G_123,Consequentialist,weighted,-3.0,0.30000000000000004,0.13333333333333333,-0.1666666666666667
86,G_044,Consequentialist,weighted,-3.0,0.4000000000000001,0.7666666666666666,0.36666666666666653
87,G_227,Consequentialist,weighted,-3.0,0.8166666666666668,0.8666666666666667,0.04999999999999993
88,G_179,Consequentialist,weighted,-3.0,0.11666666666666665,0.08333333333333333,-0.033333333333333326
89,G_199,Consequentialist,weighted,-3.0,0.9333333333333332,0.9666666666666667,0.03333333333333344
90,G_438,Consequentialist,weighted,-3.0,0.0,0.016666666666666666,0.016666666666666666
91,G_113,Consequentialist,weighted,-3.0,0.75,0.7666666666666667,0.01666666666666672
92,H_084,Consequentialist,weighted,-3.0,0.9500000000000001,0.9333333333333332,-0.01666666666666683
93,G_482,Consequentialist,weighted,-3.0,0.2333333333333333,0.6,0.3666666666666667
94,H_002,Consequentialist,weighted,-3.0,0.016666666666666666,0.06666666666666667,0.05
95,H_088,Consequentialist,weighted,-3.0,0.2333333333333333,0.16666666666666666,-0.06666666666666665
96,H_027,Consequentialist,weighted,-2.0,0.65,0.75,0.09999999999999998
97,G_109,Consequentialist,weighted,-2.0,0.3,0.3833333333333333,0.08333333333333331
98,G_104,Consequentialist,weighted,-2.0,0.049999999999999996,0.06666666666666667,0.01666666666666667
99,G_592,Consequentialist,weighted,-2.0,0.8166666666666668,0.7833333333333333,-0.03333333333333344
100,G_275,Consequentialist,weighted,-2.0,0.15000000000000002,0.8666666666666666,0.7166666666666666
101,G_401,Consequentialist,weighted,-2.0,0.75,0.6666666666666666,-0.08333333333333337
102,G_240,Consequentialist,weighted,-2.0,0.5254385964912281,0.35000000000000003,-0.17543859649122812
103,G_114,Consequentialist,weighted,-2.0,0.4833333333333334,0.11666666666666665,-0.36666666666666675
104,G_009,Consequentialist,weighted,-2.0,0.85,0.7833333333333333,-0.06666666666666665
105,G_458,Consequentialist,weighted,-2.0,0.0,0.0,0.0
106,G_269,Consequentialist,weighted,-2.0,0.20000000000000004,0.3333333333333333,0.13333333333333328
107,H_093,Consequentialist,weighted,-2.0,0.36666666666666664,0.26666666666666666,-0.09999999999999998
108,H_087,Consequentialist,weighted,-2.0,0.65,0.7999999999999999,0.1499999999999999
109,G_255,Consequentialist,weighted,-2.0,0.5499999999999999,0.6666666666666666,0.1166666666666667
110,G_523,Consequentialist,weighted,-2.0,0.9,0.9,0.0
111,G_149,Consequentialist,weighted,-2.0,0.7333333333333334,0.5666666666666667,-0.16666666666666674
112,G_312,Consequentialist,weighted,-2.0,0.9500000000000001,0.9833333333333334,0.033333333333333326
113,G_195,Consequentialist,weighted,-2.0,0.21666666666666665,0.18596491228070175,-0.030701754385964897
114,G_347,Consequentialist,weighted,-2.0,0.6666666666666666,0.8666666666666667,0.20000000000000007
115,H_023,Consequentialist,weighted,-2.0,0.03333333333333333,0.11666666666666665,0.08333333333333331
116,G_163,Consequentialist,weighted,-2.0,0.9500000000000001,0.9,-0.050000000000000044
117,G_123,Consequentialist,weighted,-2.0,0.30000000000000004,0.5166666666666666,0.21666666666666656
118,G_044,Consequentialist,weighted,-2.0,0.4000000000000001,0.8333333333333334,0.4333333333333333
119,G_227,Consequentialist,weighted,-2.0,0.8166666666666668,0.8333333333333334,0.016666666666666607
120,G_179,Consequentialist,weighted,-2.0,0.11666666666666665,0.09999999999999999,-0.016666666666666663
121,G_199,Consequentialist,weighted,-2.0,0.9333333333333332,0.9500000000000001,0.01666666666666683
122,G_438,Consequentialist,weighted,-2.0,0.0,0.03333333333333333,0.03333333333333333
123,G_113,Consequentialist,weighted,-2.0,0.75,0.9166666666666666,0.16666666666666663
124,H_084,Consequentialist,weighted,-2.0,0.9500000000000001,1.0,0.04999999999999993
125,G_482,Consequentialist,weighted,-2.0,0.2333333333333333,0.5833333333333334,0.3500000000000001
126,H_002,Consequentialist,weighted,-2.0,0.016666666666666666,0.049999999999999996,0.033333333333333326
