variation,vector_type,alpha,CPS_mean,CPS_lower,CPS_upper,CPS_std
Relational,weighted,-4.0,-0.020207212171052657,-0.071382264254386,0.03410087719298244,0.02711427737441628
Relational,weighted,-3.0,0.00019964912280700657,-0.0492372532894737,0.052632949561403485,0.02610428703191173
Relational,weighted,-2.0,0.03196638157894736,-0.015158991228070188,0.08303591008771925,0.025041697135339318
Relational,weighted,-1.0,0.05275445175438594,0.008634868421052605,0.10024671052631577,0.023309327649920605
Relational,weighted,0.0,0.07514374543128653,0.028776803118908366,0.12395833333333331,0.024446393484340172
Relational,weighted,1.0,0.08844510690789473,0.047368421052631574,0.13566337719298244,0.02262261282912353
Relational,weighted,2.0,0.09533962993421051,0.04682017543859647,0.1503584155701754,0.026364643215066035
Relational,weighted,3.0,0.10936395285087717,0.052764528508771905,0.16927083333333331,0.029399456847446357
Relational,weighted,4.0,0.1123879769736842,0.06126644736842105,0.16639322916666663,0.026587010793896578
Relational,weighted,5.0,0.12405823190789472,0.0691056743421052,0.1819915021929824,0.029139348252599714
Relational,unweighted,-5.0,0.019276091008771933,-0.02656250000000001,0.07091831140350875,0.024823015737019078
Relational,unweighted,-4.0,0.045071562499999995,0.007291666666666648,0.0828125,0.019117065299523166
Relational,unweighted,-3.0,0.049331776315789465,0.0040570175438596374,0.10016447368421053,0.024751885260597115
Relational,unweighted,-2.0,0.051137171052631575,0.007510964912280694,0.09764254385964913,0.023192210814299057
Relational,unweighted,-1.0,0.0605345126705653,0.015350877192982462,0.1085811098927875,0.023630207143699813
Relational,unweighted,0.0,0.06956194078947367,0.024917077850877177,0.11811951754385963,0.023554083260389616
Relational,unweighted,1.0,0.06367457785087717,0.018475877192982465,0.11244586074561401,0.023885129525249214
Relational,unweighted,2.0,0.07311931469298245,0.03122121710526313,0.12055989583333333,0.02265263557354003
Relational,unweighted,3.0,0.09106944353070175,0.04298245614035086,0.142516447368421,0.02549994307081874
Relational,unweighted,4.0,0.08792889254385963,0.04149876644736841,0.13774671052631576,0.024511864772548374
Relational,unweighted,5.0,0.09901706962719298,0.04270833333333333,0.1585526315789474,0.02953361864790204
Emotional,weighted,-5.0,-0.10165889437134505,-0.1715359253167641,-0.025794956140350905,0.037752955360985774
Emotional,weighted,-4.0,-0.10169773300438599,-0.17108141447368422,-0.028342242324561447,0.036486088317948834
Emotional,weighted,-3.0,-0.06570312774122808,-0.12236842105263157,-0.003892543859649138,0.03039802663257359
Emotional,weighted,-2.0,-0.028932505482456145,-0.07842653508771931,0.02264254385964912,0.0256041030607749
Emotional,weighted,-1.0,0.013095496162280687,-0.027878289473684238,0.05937499999999997,0.022596792330811518
Emotional,weighted,0.0,0.03202763432017541,-0.006798930921052658,0.07445175438596488,0.020499453616567447
Emotional,weighted,1.0,0.058794037828947356,0.01896724232456139,0.10227658991228068,0.021310952713620303
Emotional,weighted,2.0,0.0961263048245614,0.05117872807017542,0.14503837719298246,0.023643376218834507
Emotional,weighted,3.0,0.10679496436403509,0.05833264802631576,0.15781866776315784,0.025429698216796786
Emotional,weighted,4.0,0.12306753289473683,0.06458333333333333,0.18330592105263155,0.03031638651114365
Emotional,weighted,5.0,0.12978874999999998,0.06902412280701753,0.19583333333333333,0.03262883102132152
Emotional,unweighted,-5.0,-0.0034786787280701864,-0.05010964912280703,0.0478344298245614,0.024868535029006985
Emotional,unweighted,-4.0,0.0009123108552631477,-0.04766995614035088,0.05337171052631576,0.025816773880556608
Emotional,unweighted,-3.0,0.01150314418859649,-0.027384868421052637,0.05416666666666666,0.020937559627473967
Emotional,unweighted,-2.0,0.020603919956140346,-0.019819078947368424,0.06249999999999999,0.020930996028061175
Emotional,unweighted,-1.0,0.029954435307017524,-0.008086622807017569,0.0692728892543859,0.019879817179208753
Emotional,unweighted,0.0,0.05729166118421051,0.017104577850877177,0.10244174890350871,0.021936411291522757
Emotional,unweighted,1.0,0.045301321271929804,0.008360745614035069,0.08539062499999996,0.01972270179645311
Emotional,unweighted,2.0,0.05330720668859649,0.010032209429824558,0.10189281798245611,0.02328821208210228
Emotional,unweighted,3.0,0.07138133345516567,0.03138439632066276,0.11452097039473681,0.02121720007328277
Emotional,unweighted,4.0,0.07330153782894736,0.03281250000000001,0.11713267543859646,0.02155898736456063
Emotional,unweighted,5.0,0.09233234100877191,0.04671052631578948,0.1387616502192982,0.0238302667632447
